cat_periodo,codigo_unico,MRUN,GEN_ALU,FEC_NAC_ALU,rango_edad,anio_ing_carr_ori,sem_ing_carr_ori,anio_ing_carr_act,sem_ing_carr_act,tipo_inst_1,tipo_inst_2,tipo_inst_3,cod_inst,nomb_inst,cod_sede,nomb_sede,cod_carrera,nomb_carrera,modalidad,jornada,version,tipo_plan_carr,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,nivel_global,nivel_carrera_1,nivel_carrera_2,requisito_ingreso,vigencia_carrera,valor_matricula,valor_arancel,codigo_demre,area_conocimiento,cine_f_13_area,cine_f_13_subarea,area_carrera_generica,acreditada_carr,acreditada_inst,acre_inst_desde_hasta,acre_inst_anio,costo_proceso_titulacion,costo_obtencion_titulo_diploma,forma_ingreso
2021,I10S4C19J1V1,479369,2,200011,20 a 24 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,19,ODONTOLOGIA,Presencial,Diurno,1,Plan Regular,12,0,12,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,837000,7909160,39415,Salud,Salud y Bienestar,Salud,Odontología,ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,0,1- Ingreso Directo (regular)
2021,I20S3C7J1V2,498522,1,199810,20 a 24 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,20,UNIVERSIDAD ANDRES BELLO,3,SEDE VIÑA DEL MAR,7,PSICOLOGIA,Presencial,Diurno,2,Plan Regular,10,0,10,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,490000,4910000,41068,Ciencias Sociales,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,Psicología,NO ACREDITADA,ACREDITADA,24/12/2017 AL 24/12/2022,5,0,116300,1- Ingreso Directo (regular)
2021,I86S5C400J1V1,622224,1,200208,15 a 19 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,5,CAMPUS SAN JOAQUIN,400,AGRONOMIA E INGENIERIA FORESTAL,Presencial,Diurno,1,Plan Regular,10,0,10,Metropolitana,SANTIAGO,MACUL,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,137500,5588000,12013,Agropecuaria,"Agricultura, Silvicultura, Pesca y Veterinaria",Agricultura,Agronomía,ACREDITADA,ACREDITADA,01/12/2018 AL 01/12/2025,7,0,0,1- Ingreso Directo (regular)
2021,I94S1C13J1V1,673882,2,199808,20 a 24 años,2017,1,2017,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,94,UNIVERSIDAD CATOLICA DE TEMUCO,1,CASA CENTRAL (TEMUCO),13,MEDICINA VETERINARIA,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,163000,4587000,37011,Agropecuaria,"Agricultura, Silvicultura, Pesca y Veterinaria",Veterinaria,Medicina Veterinaria,ACREDITADA,ACREDITADA,16/07/2019 AL 16/07/2024,5,101676,0,1- Ingreso Directo (regular)
2021,I78S5C305J1V1,706473,2,200008,20 a 24 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,78,UNIVERSIDAD DE TALCA,5,CAMPUS SANTIAGO,305,PEDAGOGIA EN EDUCACION GENERAL BASICA CON MENCION EN ALEMAN,Presencial,Diurno,1,Plan Regular,8,1,8,Metropolitana,SANTIAGO,SAN JOAQUIN,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,187000,2573000,34069,Educación,Educación,Educación,Pedagogía en Educación Básica,ACREDITADA,ACREDITADA,27/11/2019 AL 27/11/2025,6,0,180900,1- Ingreso Directo (regular)
2021,I71S1C363J1V1,946761,2,198906,30 a 34 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,71,UNIVERSIDAD DE SANTIAGO DE CHILE,1,CASA CENTRAL (SANTIAGO),363,ESPECIALIDAD EN IMAGENOLOGIA,Presencial,Diurno,1,Plan Regular,6,1,6,Metropolitana,SANTIAGO,ESTACION CENTRAL,Postítulo,Especialidad Médica U Odontológica,Postítulo,Título Profesional,VIGENTE CON ALUMNOS NUEVOS,256000,8500000,0,Salud,Salud y Bienestar,Salud,Postítulo en Salud,NO ACREDITADA,ACREDITADA,25/02/2021 AL 25/02/2028,7,228000,52000,1- Ingreso Directo (regular)
2021,I76S1C88J1V1,1005229,1,199610,20 a 24 años,2015,1,2015,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,1,CASA CENTRAL (TEMUCO),88,BIOTECNOLOGIA,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,128000,3360000,30068,Tecnología,"Ciencias naturales, matemáticas y estadística",Ciencias Biológicas y Afines,Otros Profesionales de Tecnología,ACREDITADA,ACREDITADA,28/11/2018 AL 28/11/2024,6,100000,50000,1- Ingreso Directo (regular)
2021,I76S1C310J1V1,1118882,2,199804,20 a 24 años,2017,1,2017,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,1,CASA CENTRAL (TEMUCO),310,INGENIERIA CIVIL QUIMICA,Presencial,Diurno,1,Plan Regular,12,0,12,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,128000,3391000,30038,Tecnología,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,Ingeniería Civil Química,NO ACREDITADA,ACREDITADA,28/11/2018 AL 28/11/2024,6,100000,50000,1- Ingreso Directo (regular)
2021,I23S2C220J1V1,1122868,1,200003,20 a 24 años,2018,1,2018,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,2,SEDE PEÑALOLEN,220,INGENIERIA CIVIL EN MINERIA,Presencial,Diurno,1,Plan Regular de Continuidad,6,1,7,Metropolitana,SANTIAGO,PEÑALOLEN,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Plan Común,VIGENTE CON ALUMNOS NUEVOS,668955,6398700,0,Tecnología,"Ingeniería, Industria y Construcción",Industria y Producción,Ingeniería Civil en Minas,ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,65000,1- Ingreso Directo (regular)
2021,I34S1C413J1V1,1133119,1,199608,20 a 24 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),413,MAGISTER EN DERECHO DEL TRABAJO,Presencial,Diurno,1,Plan Regular,4,0,4,Metropolitana,SANTIAGO,LAS CONDES,Postgrado,Magister,Magister,Título Profesional,VIGENTE CON ALUMNOS NUEVOS,290504,3195546,0,Derecho,Administración de Empresas y Derecho,Derecho,Magister en Derecho,NO ACREDITADA,ACREDITADA,13/12/2017 AL 13/12/2022,5,0,0,1- Ingreso Directo (regular)
2021,I87S1C11J1V1,1148691,1,199910,20 a 24 años,2018,1,2018,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,87,UNIVERSIDAD DE CONCEPCION,1,CASA CENTRAL,11,DERECHO,Presencial,Diurno,1,Plan Regular,11,0,11,Biobío,CONCEPCION,CONCEPCION,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,120000,4713138,13024,Derecho,Administración de Empresas y Derecho,Derecho,Derecho,NO ACREDITADA,ACREDITADA,11/11/2016 AL 11/11/2023,7,820000,30000,1- Ingreso Directo (regular)
2021,I76S1C4J1V1,1149914,2,200008,20 a 24 años,2019,1,2019,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,1,CASA CENTRAL (TEMUCO),4,ENFERMERIA,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,128000,3463000,30020,Salud,Salud y Bienestar,Salud,Enfermería,NO ACREDITADA,ACREDITADA,28/11/2018 AL 28/11/2024,6,100000,50000,10- Otras formas de Ingreso
2021,I76S1C11J1V1,1210155,1,199710,20 a 24 años,2017,1,2017,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,1,CASA CENTRAL (TEMUCO),11,INGENIERIA COMERCIAL,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,128000,3695000,30085,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,ACREDITADA,ACREDITADA,28/11/2018 AL 28/11/2024,6,100000,50000,1- Ingreso Directo (regular)
2021,I10S4C12J1V1,1277605,2,199801,20 a 24 años,2016,1,2016,1,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,12,TECNOLOGIA MEDICA,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,445000,4772380,39420,Salud,Salud y Bienestar,Salud,Tecnología Médica,ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,100000,1- Ingreso Directo (regular)
2021,I23S1C3J1V1,1306191,2,199908,20 a 24 años,2018,1,2018,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,1,CASA CENTRAL (VIÑA DEL MAR),3,DERECHO,Presencial,Diurno,1,Plan Regular,10,1,11,Valparaíso,VALPARAISO,VIÑA DEL MAR,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,610785,5235300,42023,Derecho,Administración de Empresas y Derecho,Derecho,Derecho,ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,65000,1- Ingreso Directo (regular)
2021,I10S4C18J1V1,1318507,2,200110,15 a 19 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,18,MEDICINA,Presencial,Diurno,1,Plan Regular,14,0,14,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,837000,7909160,39411,Salud,Salud y Bienestar,Salud,Medicina,ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,0,10- Otras formas de Ingreso
2021,I86S5C57J1V1,1412277,1,200002,20 a 24 años,2018,1,2018,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,86,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,5,CAMPUS SAN JOAQUIN,57,INGENIERIA COMERCIAL,Presencial,Diurno,1,Plan Regular,10,0,10,Metropolitana,SANTIAGO,MACUL,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,137500,6538000,12014,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,NO ACREDITADA,ACREDITADA,01/12/2018 AL 01/12/2025,7,0,0,1- Ingreso Directo (regular)
2021,I23S2C253J1V1,1460971,2,200207,15 a 19 años,2021,1,2021,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,2,SEDE PEÑALOLEN,253,"INGENIERIA CIVIL, PLAN COMUN",Presencial,Diurno,1,Plan Regular,4,0,4,Metropolitana,SANTIAGO,PEÑALOLEN,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,668955,6398700,42002,Tecnología,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",NO ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,0,1- Ingreso Directo (regular)
2021,I23S2C1J1V3,1470922,1,200005,20 a 24 años,2019,1,2019,1,Universidades,Universidades Privadas,Universidades Privadas,23,UNIVERSIDAD ADOLFO IBAÑEZ,2,SEDE PEÑALOLEN,1,INGENIERIA COMERCIAL,Presencial,Diurno,3,Plan Regular de Continuidad,6,0,6,Metropolitana,SANTIAGO,PEÑALOLEN,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Plan Común,VIGENTE CON ALUMNOS NUEVOS,668955,6398700,0,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,ACREDITADA,ACREDITADA,18/11/2015 AL 18/11/2020,5,0,65000,1- Ingreso Directo (regular)
2021,I100S32C150J1V1,1499740,2,199402,25 a 29 años,2017,1,2018,1,Institutos Profesionales,Institutos Profesionales,Institutos Profesionales,100,IP INACAP,32,SEDE TEMUCO,150,ADMINISTRACION GASTRONOMICA INTERNACIONAL,Presencial,Diurno,1,Plan Regular,8,0,8,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,220000,2258000,0,Administración y Comercio,Servicios,Servicios personales,Administración Gastronómica,SIN INFORMACION,ACREDITADA,11/12/2016 AL 11/12/2022,6,72000,0,4 : Cambio externo
2021,I76S1C11J1V1,1520903,1,199901,20 a 24 años,2018,1,2018,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,76,UNIVERSIDAD DE LA FRONTERA,1,CASA CENTRAL (TEMUCO),11,INGENIERIA COMERCIAL,Presencial,Diurno,1,Plan Regular,10,0,10,La Araucanía,CAUTIN,TEMUCO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,128000,3695000,30085,Administración y Comercio,Administración de Empresas y Derecho,Educación Comercial y Administración,Ingeniería Comercial,ACREDITADA,ACREDITADA,28/11/2018 AL 28/11/2024,6,100000,50000,1- Ingreso Directo (regular)
2021,I45S2C32J1V1,1532006,2,200112,15 a 19 años,2020,1,2020,1,Universidades,Universidades Privadas,Universidades Privadas,45,UNIVERSIDAD DEL DESARROLLO,2,SEDE SANTIAGO (LAS CONDES),32,MEDICINA,Presencial,Diurno,1,Plan Regular,14,0,14,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,1163400,9132690,44019,Salud,Salud y Bienestar,Salud,Medicina,ACREDITADA,ACREDITADA,15/12/2016 AL 15/12/2021,5,0,20000,1- Ingreso Directo (regular)
2021,I34S1C40J1V1,1699425,2,200104,20 a 24 años,2020,1,2020,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),40,DERECHO,Presencial,Diurno,1,Plan Regular,10,1,10,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,465360,5526150,43012,Derecho,Administración de Empresas y Derecho,Derecho,Derecho,ACREDITADA,ACREDITADA,13/12/2017 AL 13/12/2022,5,145425,0,10- Otras formas de Ingreso
2021,I3S1C11J1V1,1699760,1,200205,15 a 19 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,3,UNIVERSIDAD DIEGO PORTALES,1,CASA CENTRAL (SANTIAGO),11,INGENIERIA CIVIL EN INFORMATICA Y TELECOMUNICACIONES,Presencial,Diurno,1,Plan Regular,11,0,11,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,535000,5351000,38175,Tecnología,Tecnología de la Información y la Comunicación (TIC),Tecnología de la Información y la Comunicación (TIC),Ingeniería Civil en Computación e Informática,ACREDITADA,ACREDITADA,24/10/2018 AL 24/10/2023,5,232728,0,1- Ingreso Directo (regular)
2021,I70S1C64J1V1,1719535,1,200102,20 a 24 años,2019,1,2019,1,Universidades,Universidades CRUCH,Universidades Estatales CRUCH,70,UNIVERSIDAD DE CHILE,1,SANTIAGO,64,INGENIERIA Y CIENCIAS - PLAN COMUN,Presencial,Diurno,1,Plan Regular,12,0,12,Metropolitana,SANTIAGO,SANTIAGO,Pregrado,"Bachillerato, Ciclo Inicial o Plan Común",Carreras Profesionales,Educación Media,VIGENTE SIN ALUMNOS NUEVOS,149000,5995000,11045,Tecnología,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",ACREDITADA,ACREDITADA,22/12/2018 AL 22/12/2025,7,0,0,1- Ingreso Directo (regular)
2021,I34S1C41J1V1,1721222,1,200206,15 a 19 años,2021,1,2021,1,Universidades,Universidades CRUCH,Universidades Privadas CRUCH,34,UNIVERSIDAD DE LOS ANDES,1,CASA CENTRAL (SANTIAGO),41,MEDICINA,Presencial,Diurno,1,Plan Regular,14,0,14,Metropolitana,SANTIAGO,LAS CONDES,Pregrado,Profesional Con Licenciatura,Carreras Profesionales,Educación Media,VIGENTE CON ALUMNOS NUEVOS,814380,7998375,43014,Salud,Salud y Bienestar,Salud,Medicina,ACREDITADA,ACREDITADA,13/12/2017 AL 13/12/2022,5,145425,0,1- Ingreso Directo (regular)
2021,I10S4C737J5V1,1722992,2,199608,20 a 24 años,2020,2,2020,2,Universidades,Universidades Privadas,Universidades Privadas,10,UNIVERSIDAD MAYOR,4,SEDE TEMUCO,737,"DIPLOMADO EN COACHING NUTRICIONAL, FITNESS Y NUTRICION DEPORTIVA",Presencial,Otro,1,Plan Regular,2,0,2,La Araucanía,CAUTIN,TEMUCO,Postítulo,Diplomado (superior a un semestre),Postítulo,Licenciatura,VIGENTE CON ALUMNOS NUEVOS,160000,1600000,0,Salud,Salud y Bienestar,Salud,Postítulo en Salud,NO ACREDITADA,ACREDITADA,20/05/2015 AL 20/05/2020,5,0,0,1- Ingreso Directo (regular)
